exponent,min_runtime_old,min_runtime_new
375,6.9689995143562555e-06,7.149003067752346e-06
376,7.2690017987042665e-06,6.068999937269837e-06
377,6.350997864501551e-06,6.6490028984844685e-06
378,6.779999239370227e-06,6.330999894998968e-06
379,6.949001544853672e-06,6.8199988163542e-06
380,7.200000254670158e-06,6.310998287517577e-06
381,6.70000008540228e-06,6.620000931434333e-06
382,7.1400027081836015e-06,6.759997631888837e-06
383,7.079997885739431e-06,7.279999408638105e-06
384,7.5499992817640305e-06,4.960002115694806e-06
385,5.279998731566593e-06,5.35999788553454e-06
386,5.779998900834471e-06,5.3299991122912616e-06
387,5.689998943125829e-06,5.7299985201098025e-06
388,6.170001142891124e-06,5.339999916031957e-06
389,5.950001650489867e-06,5.85000088904053e-06
390,6.22999868937768e-06,5.769998097093776e-06
391,6.199999916134402e-06,6.1300015659071505e-06
392,6.490001396741718e-06,5.309997504809871e-06
393,5.679998139385134e-06,5.770001735072583e-06
394,6.149999535409734e-06,5.740002961829305e-06
395,6.350001058308408e-06,6.090001988923177e-06
396,6.579997716471553e-06,5.689998943125829e-06
397,6.099999154685065e-06,6.1399987316690385e-06
398,6.7399996623862535e-06,6.219997885636985e-06
399,6.590002158191055e-06,6.919999577803537e-06
400,6.980000762268901e-06,5.399997462518513e-06
401,5.699999746866524e-06,5.880003300262615e-06
402,6.1300015659071505e-06,5.760000931331888e-06
403,6.120000762166455e-06,6.250000296859071e-06
404,6.70000008540228e-06,5.750000127591193e-06
405,6.149999535409734e-06,6.220001523615792e-06
406,6.549998943228275e-06,6.080001185182482e-06
407,6.520000169984996e-06,6.58000135445036e-06
408,7.049002306303009e-06,5.791000148747116e-06
409,6.188998668221757e-06,6.280002708081156e-06
410,6.70000008540228e-06,6.520000169984996e-06
411,6.451002263929695e-06,6.508998922072351e-06
412,6.9400011852849275e-06,6.330999894998968e-06
413,6.55999974696897e-06,6.70000008540228e-06
414,7.120001100702211e-06,6.6399989009369165e-06
415,6.910999218234792e-06,6.999998731771484e-06
416,7.550999725935981e-06,5.580001015914604e-06
417,5.9399972087703645e-06,5.980000423733145e-06
418,6.4110026869457215e-06,5.9109988796990365e-06
419,6.529000529553741e-06,6.351001502480358e-06
420,6.688998837489635e-06,5.879999662283808e-06
421,6.390000635292381e-06,6.369002221617848e-06
422,7.189999450929463e-06,6.360001862049103e-06
423,6.7300024966243654e-06,6.93999754730612e-06
424,7.2900002123788e-06,6.099999154685065e-06
425,6.369999027810991e-06,6.319998647086322e-06
426,6.6599968704395e-06,6.390000635292381e-06
427,6.72000169288367e-06,6.820002454333007e-06
428,7.059999916236848e-06,6.610000127693638e-06
429,6.469999789260328e-06,6.589998520212248e-06
